hr,rr,stress,time,real_time
hr,rr,stress,time,real_time
77,[0.828],0,00:00:24,23:56:57
77,"[0.78, 0.756]",0,00:00:25,23:56:59
77,[0.844],0,00:00:26,23:57:00
76,[0.788],0,00:00:27,23:57:01
76,[0.772],0,00:00:28,23:57:02
76,"[0.84, 0.772]",0,00:00:29,23:57:03
76,[0.748],0,00:00:30,23:57:04
77,[0.772],0,00:00:31,23:57:05
77,"[0.732, 0.744]",0,00:00:32,23:57:05
77,[0.816],0,00:00:33,23:57:06
77,[0.772],0,00:00:34,23:57:07
78,"[0.716, 0.756]",0,00:00:35,23:57:08
78,[0.772],0,00:00:36,23:57:09
78,[0.756],0,00:00:37,23:57:10
78,[0.812],0,00:00:38,23:57:11
77,"[0.824, 0.82]",0,00:00:39,23:57:12
77,[0.84],0,00:00:40,23:57:13
76,[0.852],0,00:00:41,23:57:14
75,[0.84],0,00:00:42,23:57:15
75,[0.772],0,00:00:43,23:57:16
76,"[0.76, 0.712]",0,00:00:44,23:57:17
76,[0.768],0,00:00:45,23:57:18
77,"[0.752, 0.816]",0,00:00:46,23:57:19
76,[0.852],0,00:00:47,23:57:20
76,[0.796],0,00:00:48,23:57:21
76,[0.76],0,00:00:49,23:57:22
77,"[0.708, 0.632]",0,00:00:50,23:57:23
79,"[0.612, 0.6]",0,00:00:51,23:57:24
81,[0.596],0,00:00:52,23:57:25
82,"[0.648, 0.772]",0,00:00:53,23:57:26
83,[0.832],0,00:00:54,23:57:27
84,[0.872],0,00:00:55,23:57:28
84,[0.74],0,00:00:56,23:57:29
84,"[0.68, 0.696]",0,00:00:57,23:57:30
84,[0.696],0,00:00:58,23:57:31
84,"[0.724, 0.704]",0,00:00:59,23:57:32
84,[0.756],0,00:01:00,23:57:33
83,[0.748],0,00:01:01,23:57:34
83,"[0.72, 0.764]",0,00:01:03,23:57:36
83,[0.82],0,00:01:03,23:57:37
82,[0.816],0,00:01:04,23:57:38
81,"[0.716, 0.68]",0,00:01:05,23:57:39
82,[0.684],0,00:01:06,23:57:40
83,[0.692],0,00:01:07,23:57:41
83,"[0.724, 0.72]",0,00:01:08,23:57:42
83,[0.672],0,00:01:09,23:57:43
84,"[0.648, 0.68]",0,00:01:10,23:57:44
84,[0.716],0,00:01:11,23:57:45
84,[0.8],0,00:01:12,23:57:46
84,"[0.748, 0.712]",0,00:01:13,23:57:47
83,[0.772],0,00:01:14,23:57:48
83,[0.784],0,00:01:15,23:57:49
82,[0.944],0,00:01:16,23:57:50
80,"[0.932, 0.86]",0,00:01:17,23:57:51
79,[0.78],0,00:01:18,23:57:52
79,[0.776],0,00:01:19,23:57:53
78,[0.832],0,00:01:20,23:57:54
78,[0.844],0,00:01:21,23:57:54
77,"[0.832, 0.908]",0,00:01:22,23:57:55
76,[0.924],0,00:01:23,23:57:56
75,[0.852],0,00:01:24,23:57:57
74,[0.92],0,00:01:25,23:57:58
73,[0.92],0,00:01:26,23:57:59
72,[0.808],0,00:01:27,23:58:00
73,[0.816],0,00:01:28,23:58:01
73,"[0.816, 0.824]",0,00:01:29,23:58:02
73,[0.908],0,00:01:30,23:58:03
72,[0.968],0,00:01:31,23:58:04
71,[0.924],0,00:01:32,23:58:05
70,[0.916],0,00:01:33,23:58:06
70,[0.86],0,00:01:34,23:58:07
70,"[0.736, 0.696]",0,00:01:35,23:58:08
71,[0.656],0,00:01:36,23:58:09
72,[0.724],0,00:01:37,23:58:10
73,[1.096],0,00:01:38,23:58:11
74,[0.912],0,00:01:39,23:58:12
74,[0.884],0,00:01:40,23:58:13
74,"[0.828, 0.736]",0,00:01:41,23:58:14
75,"[0.684, 0.684]",0,00:01:42,23:58:15
76,[0.788],0,00:01:43,23:58:16
76,[0.836],0,00:01:44,23:58:17
76,[0.752],0,00:01:45,23:58:18
77,"[0.724, 0.876]",0,00:01:46,23:58:19
77,[0.836],0,00:01:47,23:58:20
77,[0.748],0,00:01:48,23:58:21
77,[0.772],0,00:01:49,23:58:22
77,"[0.78, 0.748]",0,00:01:50,23:58:23
78,[0.692],0,00:01:51,23:58:24
79,"[0.652, 0.624]",0,00:01:53,23:58:26
81,[0.624],0,00:01:53,23:58:27
83,"[0.604, 0.68]",0,00:01:54,23:58:28
84,[0.772],0,00:01:55,23:58:29
84,[0.764],0,00:01:56,23:58:30
84,"[0.724, 0.692]",0,00:01:57,23:58:31
84,[0.664],0,00:01:58,23:58:32
86,"[0.628, 0.608]",0,00:01:59,23:58:33
87,"[0.596, 0.58]",0,00:02:00,23:58:34
89,[0.584],0,00:02:01,23:58:35
91,[0.928],0,00:02:02,23:58:36
92,"[0.756, 0.7]",0,00:02:03,23:58:37
